Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
7.9,1400000,8.3,James Cameron,162,0,2009
8.4,1300000,7.8,Anthony Russo,181,0,2019
7.5,511000,6.7,James Cameron,192,0,2022
7.9,1300000,7.5,James Cameron,194,0,1997
7.8,985000,8.0,J.J. Abrams,138,0,2015
8.4,1200000,6.8,Anthony Russo,149,0,2018
8.2,907000,7.1,Jon Watts,148,0,2021
6.9,689000,5.9,Colin Trevorrow,124,0,2015
6.8,272000,5.5,Jon Favreau,118,0,2019
8.0,1500000,6.9,Joss Whedon,143,0,2012
7.1,420000,6.7,James Wan,137,0,2015
8.2,732000,7.8,Joseph Kosinski,130,0,2022
6.8,200000,6.4,Chris Buck,103,0,2019
6.8,568000,8.0,Greta Gerwig,114,0,2023
7.3,938000,6.6,Joss Whedon,141,0,2015
7.0,249000,4.6,Aaron Horvath,92,0,2023
7.7,142000,7.3,Kelsey Mann,96,0,2024
7.3,851000,8.8,Ryan Coogler,134,0,2018
8.1,966000,8.5,David Yates,130,0,2011
6.9,682000,8.4,Rian Johnson,152,0,2017
6.1,351000,5.1,J.A. Bayona,128,0,2018
7.4,673000,7.5,Chris Buck,102,0,2013
7.1,339000,6.5,Bill Condon,129,0,2017
7.5,340000,8.0,Brad Bird,118,0,2018
6.6,258000,5.6,F. Gary Gray,136,0,2017
7.1,912000,6.2,Shane Black,130,0,2013
6.4,266000,5.6,Kyle Balda,91,0,2015
7.8,866000,7.5,Anthony Russo,147,0,2016
6.8,528000,5.5,James Wan,143,0,2018
9.0,2000000,9.4,Peter Jackson,201,0,2003
7.4,573000,6.9,Jon Watts,129,0,2019
6.8,621000,6.4,Anna Boden,123,0,2019
6.2,437000,4.2,Michael Bay,154,0,2011
7.8,738000,8.1,Sam Mendes,143,0,2012
5.6,335000,3.2,Michael Bay,165,0,2014
8.2,1100000,6.8,Steven Spielberg,127,0,1993
8.4,1900000,7.8,Christopher Nolan,164,0,2012
8.4,1500000,5.9,Todd Phillips,122,0,2019
6.4,504000,5.3,J.J. Abrams,141,0,2019
7.7,287000,8.4,Josh Cooley,100,0,2019
8.3,907000,9.2,Lee Unkrich,103,0,2010
7.4,779000,5.3,Gore Verbinski,151,0,2006
7.8,699000,6.5,Gareth Edwards,133,0,2016
6.9,295000,5.3,Guy Ritchie,128,0,2019
6.6,573000,4.5,Rob Marshall,137,0,2011
6.5,872000,5.1,George Lucas,136,0,1999
7.6,872000,6.5,Chris Columbus,152,0,2001
6.2,162000,4.9,Kyle Balda,89,0,2017
7.2,310000,7.7,Andrew Stanton,97,0,2016
8.0,560000,7.8,Byron Howard,108,0,2016
6.4,447000,5.3,Tim Burton,108,0,2010
7.8,885000,5.8,Peter Jackson,169,0,2012
9.0,2900000,8.4,Christopher Nolan,152,0,2008
5.6,214000,3.8,Colin Trevorrow,147,0,2022
8.5,1200000,8.8,Roger Allers,88,0,1994
8.3,799000,9.0,Christopher Nolan,180,0,2023
7.3,434000,6.2,Pierre Coffin,98,0,2013
7.4,295000,7.7,Jon Favreau,106,0,2016
7.0,461000,5.8,Jake Kasdan,119,0,2017
7.4,582000,5.9,Peter Jackson,144,0,2014
7.1,704000,5.0,Gore Verbinski,169,0,2007
7.7,611000,6.5,David Yates,146,0,2010
7.8,716000,6.6,Peter Jackson,161,0,2013
6.9,493000,6.0,Sam Raimi,126,0,2022
8.8,1800000,8.7,Peter Jackson,179,0,2002
7.5,645000,7.1,David Yates,138,0,2007
8.2,1100000,9.0,Andrew Stanton,100,0,2003
6.5,93000,5.6,Kyle Balda,87,0,2022
7.6,607000,7.8,David Yates,153,0,2009
7.3,515000,7.5,Andrew Adamson,93,0,2004
7.9,605000,4.9,Bryan Singer,134,0,2018
5.5,43000,0.0,Kaige Chen,176,0,2021
7.7,694000,8.1,Mike Newell,157,0,2005
6.3,650000,5.9,Sam Raimi,139,0,2007
8.9,2000000,9.2,Peter Jackson,178,0,2001
