C1,C2,text,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,sentiment,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
87,,"Слово Пацана 2 (НОВЫЙ СЕЗОН)
1 Серия + 2 Серия (Demo)
❌
Слив первой и второй серии самого долгожданного сериала
«Слово Пацана. Кровь на асфальте» 2 Сезон
уже в Telegram
Смотри бесплатно
🍿
🍿
🍿
👈",https://t.me/filmyez_smotret/15293?embed=1&mode=tme,https://t.me/,https://t.me/s/filmyez_smotret,5300,0,1733422530,1733431308,0,null,"[{""ner"":""Telegram"",""lemma"":""telegram"",""label"":""ORG"",""start_pos"":160,""end_pos"":168},{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":13,""end_pos"":14},{""ner"":""1"",""lemma"":""1"",""label"":""NUM"",""start_pos"":29,""end_pos"":30},{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":39,""end_pos"":40},{""ner"":""2"",""lemma"":""2"",""label"":""NUM"",""start_pos"":146,""end_pos"":147}]",NEUTRAL,rus,,36,0,2,0.9622642,0.03773585,0,4,1,0,8,6,2,7,true
87,,"Какие эксперименты Иван Янковский ставил над собой во время съемок «Преступления и наказания»? Какая сцена стала для актера сложнейшей? И в каких местах использовались LED-экраны? И при чем тут «Топи»?
Обо всем этом
мы узнали
в фильме о производстве «Преступления и наказания» (смотрите его в онлайн-кинотеатре) и рассказали в нашем материале.
🔥
«Кинопоиск»",https://t.me/kinopoisk/42620?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,29200,0,1733414498,1733431308,0,null,"[{""ner"":""Иван Янковский"",""lemma"":""иван янковский"",""label"":""PER"",""start_pos"":19,""end_pos"":33},{""ner"":""Кинопоиск"",""lemma"":""кинопоиск"",""label"":""ORG"",""start_pos"":347,""end_pos"":356}]",NEUTRAL,rus,,53,0,3,0.987013,0.012987013,0,0,7,5,0,18,1,16,true
87,,"#ФильмДня: ромком
«Простушка»
💚
В центре сюжета — старшеклассница Бьянка, которая узнает, что друзья видят в ней «простушку» на фоне ярких подруг. Девушка решает изменить свою жизнь с помощью популярного одноклассника Уэсли.
Это легкая и веселая история о дружбе, уверенности в себе и принятии своей уникальности. «Простушка» напомнит, что каждый из нас особенный, и научит смеяться над стереотипами, не забывая при этом о важности настоящих человеческих ценностей.
🔥
«Кинопоиск»",https://t.me/kinopoisk/42621?embed=1&mode=tme,https://t.me/,https://t.me/s/kinopoisk,21400,0,1733421740,1733431308,0,null,"[{""ner"":""ФильмДня"",""lemma"":""фильмдня"",""label"":""ORG"",""start_pos"":1,""end_pos"":9},{""ner"":""Бьянка"",""lemma"":""бьянка"",""label"":""PER"",""start_pos"":66,""end_pos"":72},{""ner"":""Уэсли"",""lemma"":""уэсли"",""label"":""PER"",""start_pos"":218,""end_pos"":223},{""ner"":""Кинопоиск"",""lemma"":""кинопоиск"",""label"":""ORG"",""start_pos"":469,""end_pos"":478}]",NEUTRAL,rus,,69,0,1,1,0,0,7,9,6,0,23,0,22,true
87,,"Актер «Локи» Джек Вил рассказал, что в настоящее время он бездомный и нуждается в помощи.
17-летний парень ушел из дома из-за физического и эмоционального насилия со стороны семьи. Он страдает от ментальных проблем, а социальные службы отказывают ему в помощи. Он в отчаянии. Он спал на улице, позже нашел заброшенный трейлер с выбитыми окнами. Джек просит распространить его послание.
🍿
Фильмы на вечер",https://t.me/kinosom/7443?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,13600,0,1733407510,1733431308,0,null,"[{""ner"":""Джек Вил"",""lemma"":""джек вил"",""label"":""PER"",""start_pos"":13,""end_pos"":21},{""ner"":""Джек"",""lemma"":""джек"",""label"":""PER"",""start_pos"":345,""end_pos"":349},{""ner"":""17"",""lemma"":""17"",""label"":""NUM"",""start_pos"":90,""end_pos"":92}]",NEUTRAL,rus,,63,0,0,1,0,0,8,10,5,0,18,2,11,true
87,,"Уоллес и Громит появились на стенах штаб-квартиры Apple в Великобритании.
Aardman сняли рождественскую короткометражку, в которой герои наряжают огромную ёлку. Для съёмок использовали целых восемь iPhone 16.
Новая часть «Уоллес и Громит» выйдет в прокат 3 января.
🍿
Фильмы на вечер",https://t.me/kinosom/7444?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,10600,0,1733416030,1733431308,0,null,"[{""ner"":""Уоллес"",""lemma"":""уоллес"",""label"":""PER"",""start_pos"":0,""end_pos"":6},{""ner"":""Громит"",""lemma"":""громит"",""label"":""PER"",""start_pos"":9,""end_pos"":15},{""ner"":""Apple"",""lemma"":""apple"",""label"":""ORG"",""start_pos"":50,""end_pos"":55},{""ner"":""Великобритании"",""lemma"":""великобритания"",""label"":""LOC"",""start_pos"":58,""end_pos"":72},{""ner"":""16"",""lemma"":""16"",""label"":""NUM"",""start_pos"":204,""end_pos"":206},{""ner"":""3"",""lemma"":""3"",""label"":""NUM"",""start_pos"":254,""end_pos"":255}]",NEUTRAL,rus,,41,0,0,0.9444444,0.055555556,0,5,5,1,2,14,0,7,true
87,,"Фрэнсис Форд Коппола начнет съемки следующего фильма в начале 2025 года.
Glimpses of the Moon будет «странным мюзиклом в духе 1930-х». Съемки пройдут в Лондоне, подробностей о сюжете и актерском составе пока нет.
Режиссер пообещал много танцев и музыки. Музыкальный «Мегалополис» получается.
🍿
Фильмы на вечер",https://t.me/kinosom/7445?embed=1&mode=tme,https://t.me/,https://t.me/s/kinosom,5100,0,1733426108,1733431308,0,null,"[{""ner"":""Фрэнсис Форд Коппола"",""lemma"":""фрэнсис форд коппола"",""label"":""PER"",""start_pos"":0,""end_pos"":20},{""ner"":""Лондоне"",""lemma"":""лондон"",""label"":""LOC"",""start_pos"":152,""end_pos"":159},{""ner"":""Мегалополис"",""lemma"":""мегалополис"",""label"":""ORG"",""start_pos"":267,""end_pos"":278},{""ner"":""2025"",""lemma"":""2025"",""label"":""NUM"",""start_pos"":62,""end_pos"":66},{""ner"":""1930"",""lemma"":""1930"",""label"":""NUM"",""start_pos"":126,""end_pos"":130}]",NEUTRAL,rus,,46,0,0,0.93333334,0.06666667,0,6,5,0,1,15,1,10,true
87,,"Адвокат дьявола (The Devil's Advocate) с Киану Ривзом и Аль Пачино. Сомневаюсь, что кто-то не видел этот замечательный фильм с отличными актерами. Поэтому долго не стану расписывать. Кино про очень успешного адвоката, который за свою карьеру не проиграл ни одного дела и которому в конце предстоит сделать весьма нелегкий выбор. Если кто-то вдруг пропустил, то обязательно исправляйте это недоразумение!",https://t.me/six_seasons_and_a_movie_channel/1029?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,175,0,1731342733,1733431308,0,null,"[{""ner"":""Киану Ривзом"",""lemma"":""киану ривзом"",""label"":""PER"",""start_pos"":41,""end_pos"":53},{""ner"":""Аль Пачино"",""lemma"":""аль пачино"",""label"":""PER"",""start_pos"":56,""end_pos"":66}]",NEUTRAL,rus,,59,0,0,0.9459459,0.054054055,0,4,9,8,1,11,6,10,true
87,,"Однажды в Голливуде (Once upon a time in Hollywood). Десятый и, вроде как последний фильм Квентина Тарантино (хотя я очень сильно надеюсь, что это всего лишь рекламный ход). В фильме рассказывается история вымышленного актера Рика Далтона и его дублера Клиффа Бутта, которые переживают непростые времена. Первый выходит в тираж и начинает сниматься в итальянских спагетти-вестернах, а второму грозит безработица, потому что Рик не сможет больше ему платить. И в это самое время банда Чарльза Мэнсона бродит поблизости от дома Романа Полански, который является соседом Рика Далтона… И снова, так же, как и в «Бесславных ублюдках», Тарантино изменяет финал истории. Как и все фильмы Тарантино, этот тоже просто приятно смотреть, глядя на актеров, а хронометраж в три часа не кажется затянутым (главное не переборщить с пивом – в первый раз я не досмотрел). В общем, очень хорошее кино, в тарантиновском стиле. И еще одно. Обычно говорят про «чеховское ружье». В этом фильме «тарантиновский огнемет». Ну и напоследок про актерский состав, в котором Леонардо Ди Каприо, Бред Питт, Марго Робби, Тимоти Олифант и еще несколько известных актеров. Приятного просмотра :)",https://t.me/six_seasons_and_a_movie_channel/1030?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,52,0,1733093496,1733431308,0,null,"[{""ner"":""Голливуде"",""lemma"":""голливуд"",""label"":""LOC"",""start_pos"":10,""end_pos"":19},{""ner"":""Квентина Тарантино"",""lemma"":""квентин тарантино"",""label"":""PER"",""start_pos"":90,""end_pos"":108},{""ner"":""Рика Далтона"",""lemma"":""рик далтона"",""label"":""PER"",""start_pos"":226,""end_pos"":238},{""ner"":""Клиффа Бутта"",""lemma"":""клиффа бутта"",""label"":""PER"",""start_pos"":253,""end_pos"":265},{""ner"":""Рик"",""lemma"":""рик"",""label"":""PER"",""start_pos"":424,""end_pos"":427},{""ner"":""Чарльза Мэнсона"",""lemma"":""чарльз мэнсона"",""label"":""PER"",""start_pos"":484,""end_pos"":499},{""ner"":""Романа Полански"",""lemma"":""роман полански"",""label"":""PER"",""start_pos"":526,""end_pos"":541},{""ner"":""Рика Далтона"",""lemma"":""рик далтона"",""label"":""PER"",""start_pos"":568,""end_pos"":580},{""ner"":""Бесславных ублюдках"",""lemma"":""бесславный ублюдках"",""label"":""ORG"",""start_pos"":608,""end_pos"":627},{""ner"":""Тарантино"",""lemma"":""тарантино"",""label"":""PER"",""start_pos"":630,""end_pos"":639},{""ner"":""Тарантино"",""lemma"":""тарантино"",""label"":""PER"",""start_pos"":681,""end_pos"":690},{""ner"":""Леонардо Ди Каприо"",""lemma"":""леонардо ди каприо"",""label"":""PER"",""start_pos"":1046,""end_pos"":1064},{""ner"":""Бред Питт"",""lemma"":""бред питт"",""label"":""PER"",""start_pos"":1066,""end_pos"":1075},{""ner"":""Марго Робби"",""lemma"":""марго робби"",""label"":""PER"",""start_pos"":1077,""end_pos"":1088},{""ner"":""Тимоти Олифант"",""lemma"":""тимоти олифант"",""label"":""PER"",""start_pos"":1090,""end_pos"":1104}]",NEUTRAL,rus,,178,0,6,0.972973,0.027027028,0,20,19,8,3,33,15,44,true
87,,"Конклав (Conclave) с Ральфом Файнсом. Ватиканский детектив про избрание нового Папы Римского. С подковерными интригами и прочими обыденными вещами из жизни кардиналов. Несмотря на такой вот сюжет, смотреть кино довольно-таки интересно. Ну а Файнс, как всегда великолепен.",https://t.me/six_seasons_and_a_movie_channel/1031?embed=1&mode=tme,https://t.me/,https://t.me/s/six_seasons_and_a_movie_channel,29,0,1733331213,1733431308,0,null,"[{""ner"":""Конклав (Conclave)"",""lemma"":""конклав (conclave)"",""label"":""PER"",""start_pos"":0,""end_pos"":18},{""ner"":""Ральфом Файнсом"",""lemma"":""ральф файнсом"",""label"":""PER"",""start_pos"":21,""end_pos"":36},{""ner"":""Файнс"",""lemma"":""файнс"",""label"":""PER"",""start_pos"":241,""end_pos"":246}]",POSITIVE,rus,,37,0,1,0.9791667,0.020833334,0,7,1,0,0,8,4,9,true
87,,"​​
200.000₽ Реально всем
❗️
Проект только приступил к работе,  но подписчики канала уже гарантировано получают от 200.000₽!
Настало время зарабатывать на инвестициях!
- Подпишись на канал
🟣
Честный брокер
🟣
и следи за розыгрышем!
- Вступай в команду и инвестируй с ними.
- Канал проверен, никаких дополнительных платежей!
- Открытый чат инвесторов!
- Закрытое ICO
❗️
❗️
Розыгрыш будет контролироваться администрацией!
- Получи приз и потрать так, как ты хочешь.
Времени осталось совсем немного! Действуй:
👇
https://t.me/+sIpjdzBGpe4zOGFi",https://t.me/filmyez_smotret/15290?embed=1&mode=tme,https://t.me/,https://t.me/s/filmyez_smotret,13500,0,1733401450,1733431309,0,null,"[{""ner"":""🟣"",""lemma"":""🟣"",""label"":""ORG"",""start_pos"":188,""end_pos"":189},{""ner"":""🟣"",""lemma"":""🟣"",""label"":""ORG"",""start_pos"":205,""end_pos"":206},{""ner"":""00.00"",""lemma"":""00.00"",""label"":""DATE"",""start_pos"":4,""end_pos"":9},{""ner"":""200"",""lemma"":""200"",""label"":""NUM"",""start_pos"":3,""end_pos"":6},{""ner"":""000"",""lemma"":""000"",""label"":""NUM"",""start_pos"":7,""end_pos"":10},{""ner"":""200"",""lemma"":""200"",""label"":""NUM"",""start_pos"":114,""end_pos"":117},{""ner"":""000"",""lemma"":""000"",""label"":""NUM"",""start_pos"":118,""end_pos"":121},{""ner"":""4"",""lemma"":""4"",""label"":""NUM"",""start_pos"":531,""end_pos"":532}]",NEUTRAL,rus,,78,0,1,0.982906,0.017094018,0,8,14,2,2,21,5,21,true
